//가이드와 스페셜 퀘스트의 챕터, 제목, 받을때, 진행중, 완료 대사를 입력하며 공통으로 받을 때 에러용 대사가 준비되어야 한다.			
//QuestStringIndex	eng	StringType	Quest Index
20	The Inventory window will display the items you have and the equipments you are wearing.;Click on an item to change its position or, if it's a consumable, right-click on it to use it.	2	4
21	Here's your reward.	4	4
22	Listen to the Shadow Phantom Soldier's guide for MU game play.	5	4
23	Bring Apples	1	5
24	Let's try adding an item to your inventory. Take the Zen I just gave you and purchase 5 apples from a merchant.	2	5
25	Apples can be purchased from potion merchants. In Lorencia, look for Potion Girl Amy, who is located across the bridge (128,85). In Elveland, look for Silvia, who is in the 1 o'clock direction from the center of the square (45,227). In Noria, look for Elf Lala, who is slightly to the north from the town's center (172,124).	2	5
26	Coordinates of the character location are displayed in numbers on the upper left corner of the game screen. The position coordinate changes when moving left and right.	2	5
27	Go find the merchant in town and bring back 5 apples.The NPC's name will be shown in light blue, and the point symbol will turn into a tooth symbol when you scroll over it with your mouse.	3	5
28	Here's your reward.	4	5
29	Go find the merchant in town and bring back 5 apples. You can also complete the quest with apples obtained from hunting monsters.	5	5
30	Hunt Noria Chain Scorpion	1	6
31	Go beyond the walls of Noria and hunt down 3 Chain Scorpions.If you find yourself in trouble, press the Q button to recover your HP. I'm sure this hunt is well within your abilities.	2	6
32	Also, if you find yourself far away from a town or cornered while on a hunt, the Town Portal Scroll can come in really handy.	2	6
33	Town Portal Scrolls can be purchased from potion merchants in towns. They are single-use items that will bring you back to the last town you visited.	2	6
34	Close the Quest window and click on me again. After that, select 'Receive damage and defense increase buff.' This buff is available to anyone under level 220. After receiving the buff, you will see an icon on the top left corner of the screen, a blue light effect surrounding the character, and have one hour of enhanced damage and defense.	2	6
35	Return to receive the reward after you finish hunting.	3	6
36	Well done. Here's your reward.	4	6
37	Hunt Noria Chain Scorpion and come back. You can press Move button to go to the monsters' location automatically.	5	6
38	Hunt Lorencia Budge Dragon	1	7
39	Go beyond the walls of Lorencia and hunt down 3 Budge Dragons.If you find yourself in trouble, press the Q button to recover your HP. I'm sure this hunt is well within your abilities.	2	7
40	Also, if you find yourself far away from a town or cornered while on a hunt, the Town Portal Scroll can come in really handy.	2	7
41	Town Portal Scrolls can be purchased from potion merchants in towns. They are single-use items that will bring you back to the last town you visited.	2	7
42	Close the Quest window and click on me again. After that, select 'Receive damage and defense increase buff.' This buff is available to anyone under level 220. After receiving the buff, you will see an icon on the top left corner of the screen, a blue light effect surrounding the character, and have one hour of enhanced damage and defense.	2	7
43	Return to receive the reward after you finish hunting.	3	7
44	Well done. Here's your reward.	4	7
45	Hunt Noria Lorencia Budge Dragon and come back. You can press Move button to go to the monsters' location automatically.	5	7
46	Hunt Elbeland Strange Rabbit	1	8
47	Go beyond the walls of Elveland and hunt down 3 Strange Rabbits.If you find yourself in trouble, press the Q button to recover your HP. I'm sure this hunt is well within your abilities.	2	8
48	Also, if you find yourself far away from a town or cornered while on a hunt, the Town Portal Scroll can come in really handy.	2	8
49	Town Portal Scrolls can be purchased from potion merchants in towns. They are single-use items that will bring you back to the last town you visited.	2	8
50	Close the Quest window and click on me again. After that, select 'Receive damage and defense increase buff.' This buff is available to anyone under level 220. After receiving the buff, you will see an icon on the top left corner of the screen, a blue light effect surrounding the character, and have one hour of enhanced damage and defense.	2	8
51	Return to receive the reward after you finish hunting.	3	8
52	Well done. Here's your reward.	4	8
53	Hunt Elbeland Strange Rabbit and come back. You can press Move button to go to the monsters' location automatically.	5	8
54	Hunt Noria Beetle Monster	1	9
55	Go beyond the walls of Noria and hunt down 30 Beetle Monsters. I'm sure this hunt is well within your abilities.	2	9
56	Close the Quest window and click on me again. After that, select 'Receive damage and defense increase buff.' This buff is available to anyone under level 220. After receiving the buff, you will see an icon on the top left corner of the screen, a blue light effect surrounding the character, and have one hour of enhanced damage and defense.	2	9
57	Return to receive the reward after you finish hunting.	3	9
58	Well done. Here's your reward.	4	9
59	Hunt Noria Beetle Monster and come back. You can press Move button to go to the monsters' location automatically.	5	9
60	Hunt Lorencia Hound	1	10
61	Go beyond the walls of Lorencia and hunt down 30 Hounds. I'm sure this hunt is well within your abilities.	2	10
62	Close the Quest window and click on me again. After that, select 'Receive damage and defense increase buff.' This buff is available to anyone under level 220. After receiving the buff, you will see an icon on the top left corner of the screen, a blue light effect surrounding the character, and have one hour of enhanced damage and defense.	2	10
63	Return to receive the reward after you finish hunting.	3	10
64	Well done. Here's your reward.	4	10
65	Hunt Lorencia Hound and come back. You can press Move button to go to the monsters' location automatically.	5	10
66	Hunt Elbeland Polluted Butterfly	1	11
67	Go beyond the walls of Elveland and hunt down 30 Polluted Butterflies. I'm sure this hunt is well within your abilities.	2	11
68	Close the Quest window and click on me again. After that, select 'Receive damage and defense increase buff.' This buff is available to anyone under level 220. After receiving the buff, you will see an icon on the top left corner of the screen, a blue light effect surrounding the character, and have one hour of enhanced damage and defense.	2	11
69	Return to receive the reward after you finish hunting.	3	11
70	Well done. Here's your reward.	4	11
71	Hunt Elbeland Polluted Butterfly and come back. You can press Move button to go to the monsters' location automatically.	5	11
72	Tutorial - Learn Skill [Elf]	1	12
73	I see you've now mastered hunting. When you hunt monsters, you can employ normal attacks by left-clicking or use skill attacks by right-clicking.	2	12
74	If you are an Agility Elf, whose priority is defense, you can equip a weapon and use its skills. If you are an Energy Elf, whose priority is wizardry, you can purchase orbs to learn skills.	2	12
75	Elves can learn additional skills by going to Noria and purchasing orbs from Elf Lala (173,124) or weapons from Eo the Craftsman (195,123).	2	12
76	Let me give you a weapon to use so that you can understand better.	2	12
77	Well done. Here's your reward.	4	12
78	Listen to the basic knowledge.	5	12
79	Tutorial - Learn Skill [Dark Knight]	1	13
80	I see you've now mastered hunting. When you hunt monsters, you can employ normal attacks by left-clicking or use skill attacks by right-clicking.	2	13
81	Dark Knights are unique in that they are powerful swordsmen who rely on both weapons and orbs.	2	13
82	Dark Knights can learn additional skills by going to Lorencia and purchasing orbs from Pasi the Mage (119,112). After purchasing an orb, right-click on it to learn the skill.	2	13
83	Let me give you a weapon to use so that you can understand better.	2	13
84	Well done. Here's your reward.	4	13
85	Listen to the basic knowledge.	5	13
86	Tutorial - Learn Skill [Dark Wizard]	1	14
87	I see you've now mastered hunting. When you hunt monsters, you can employ normal attacks by left-clicking or use skill attacks by right-clicking.	2	14
88	Dark Wizards are unique in that they are capable of mastering various magic spells from scrolls and parchments.	2	14
89	Dark Wizards can learn additional skills by going to Lorencia and purchasing scrolls from Pasi the Mage (119,112) or weapons from Hanzo the Blacksmith (116,142).	2	14
90	Let me give you a scroll as a gift so that you can understand what I mean.	2	14
91	Well done. Here's your reward.	4	14
92	Listen to the basic knowledge.	5	14
93	Tutorial - Learn Skill [Summoner]	1	15
94	I see you've now mastered hunting. When you hunt monsters, you can employ normal attacks by left-clicking or use skill attacks by right-clicking.	2	15
95	Summoners are unique in that they are capable of mastering various magic spells from scrolls and parchments.	2	15
96	Summoners can learn additional skills by going to Elveland and purchasing scrolls from Marce (36,218). After purchasing a scroll, right-click on it to learn the skill.	2	15
97	Let me give you a scroll as a gift so that you can understand what I mean.	2	15
98	Well done. Here's your reward.	4	15
99	Listen to the basic knowledge.	5	15
100	Reach Lv. 25 and meet Shadow Phantom Soldier	1	16
101	We're nearing the end of our tutorial. Now that you have a skill, it'll make sense for you to build more combat experience. Come back when you reach a certain level, and I will give you a Uniria as a reward.	2	16
102	Uniria is a mount item you can use out in the battle field. Equip it to the top left corner of your Inventory window for faster travel throughout the battle field.	2	16
103	Come back once you've reached level 25. I will then reward you with a Uniria as a gift.	2	16
104	Return to receive the reward after reaching Lv. 25.	3	16
105	Well done. Here's your reward.	4	16
106	Reach Lv. 25 and come back to the Shadow Phantom Soldier.	5	16
107	Tutorial - Learn Skill [All]	1	17
108	You've truly become a fine warrior. I'm sure the queen herself will be proud of you. Truth be told, she has arranged a few items for warriors such as you.	2	17
109	I will give you a little more basic knowledge to travel throughout the MU realm and finally give you the queen's gifts.	2	17
110	Pressing D will give you access to various commands, including Trade, Party, Buy, and Follow. Use these commands well.	2	17
111	When you want to talk to a friend and you know his or her ID, or if you want to pass on private messages, send whispers by using Tab from the Chat window.	2	17
112	From Level 1, you can easily repair your equipment using the Repair button in the inventory window. But be careful because it is more expensive than repairing with NPC.	2	17
113	In the MU world, you can use the M button to travel with ease, provided that your level is high enough and you have enough money for the destination. Discovering areas that are right for your level and hunting there can also be very fun.	2	17
114	Next time we meet, I sincerely hope to see a mightier warrior before me. Go now and build your experience and strength and free this world from Kundun's grasp! (You've completed the tutorial.)	2	17
115	Well done. Here's your reward.	4	17
116	Listen to the basic knowledge.	5	17
117	Request from Lorencia Shadow Phantom Sholdier	1	18
118	Reach Lv. 50 and come back to the Shadow Phantom Soldier.	5	18
119	Listen to the explanation of the Chaos Castle quest (50~399).	1	19
120	Would you like to visit Chaos Castle, the arena of the gods? There is no better place to prove your strength. Why don't you listen to what I have to say and then decide? (Level 50-399)	2	19
121	Chaos Castle is a battle field created by Lugard, the god of the heaven world, and Secrarium, the god of the underworld, for the balance of good and evil in this world. However, travelers started going to Chaos Castle and fighting on the side of Lugard, tipping the balance in disfavor of Secrarium.	2	19
122	To restore balance to the battle event, Secrarium made Lugard an offer and suggested implementation of a new rule. This rule was for everyone participating in the event to wear guardsman's armor. Lugard, believing the offer to be fair, accepted.	2	19
123	Unfortunately, Secrarium was betting that darkness in the hearts of the travelers would ultimately lead to hostility and discord among them. Lugard was also aware of the travelers' dark side, but his trust in them didn't waver. Ultimately, the travelers did begin to feud with one another like the dark god had anticipated, and Chaos Castle became ever more... chaotic.	2	19
124	It's very easy to enter Chaos Castle. Simply right-click on your Armor of Guardsman at the appropriate times (12:00am, 14:00pm, 16:00pm, 18:00pm, 20:00pm, and 22:00pm) to enter. Players in designated locations, such as a PC cafe, will have more opportunities to enter.	2	19
125	You will stand by for about a minute before actually entering. The event starts once this standby time passes. Once it does start, travelers and corrupt guardsmen will fight each other to the death in a no-holds-barred melee. 	2	19
126	It doesn't matter with the travelers, but you have to be careful when you kill a corrupt guardsman. Corrupt guardsmen will explode and may even push you off the arena. If this happens, you will be disqualified.	2	19
127	If you want to find out when you can enter, simply move your mouse over the Armor of Guardsman. If you want to enter, simply right-click on the armor at a designated time. Come see me when you have time, and I will give you a quest that will earn you the item needed to enter the event.	2	19
128	If you understand everything, receive the reward.	4	19
129	Listen to the explanation of the Chaos Castle.	5	19
130	Get the supplies for Chaos Castle	1	20
131	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 50-399)	2	20
132	It appears Larvae are causing quite a headache for novice travelers to the Dungeon these days. If you defeat 40 Larvae, I will offer you a choice of two rewards from 10 Healing Potions, 10 Mana Potions, and 1 Small SD Potions. When you claim you rewards, make sure you have at least 20 empty slots in your Inventory. Remember that.	2	20
133	Defeat Larvae in Dungeon and return.	3	20
134	Well done. Here's the supplies.	4	20
135	Defeat Larvae in Dungeon and receive supplies.	5	20
136	Defeat 1 monster in Chaos Castle!	1	21
137	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 50-399)	2	21
138	Try your hand at Chaos Castle Level 1. Come back to me after defeating 1 Guardsman, and I will give you 100,000 Zens as a reward. However, this applies only to Chaos Castle Level 1.	2	21
139	Go to the Event Map to hunt monster x1 in Chaos Castle and return.	3	21
140	Well done.	4	21
141	Hunt Mosnter x1 in Chaos Castle and return.	5	21
142	Clear Chaos Castle 1 time!	1	22
143	Surviving Chaos Castle is proof of how well you've trained. (Level 50-399)	2	22
144	Survive through Chaos Castle Level 1. Come back to me after that, and I will give you 100,000 EXP points and 200,000 Zens as a reward. However, this applies only to Chaos Castle Level 1.	2	22
145	Clear Chaos Castle and return.	3	22
146	Well done.	4	22
147	Clear Chaos Castle 1 time and return.	5	22
148	Listen to the explanation of the Chaos Castle quest (400~599).	1	23
149	Would you like to visit Chaos Castle, the arena of the gods? There is no better place to prove your strength. Why don't you listen to what I have to say and then decide? (Level 400-599)	2	23
150	Chaos Castle is a battle field created by Lugard, the god of the heaven world, and Secrarium, the god of the underworld, for the balance of good and evil in this world. However, travelers started going to Chaos Castle and fighting on the side of Lugard, tipping the balance in disfavor of Secrarium.	2	23
151	To restore balance to the battle event, Secrarium made Lugard an offer and suggested implementation of a new rule. This rule was for everyone participating in the event to wear guardsman's armor. Lugard, believing the offer to be fair, accepted.	2	23
152	Unfortunately, Secrarium was betting that darkness in the hearts of the travelers would ultimately lead to hostility and discord among them. Lugard was also aware of the travelers' dark side, but his trust in them didn't waver. Ultimately, the travelers did begin to feud with one another like the dark god had anticipated, and Chaos Castle became ever more... chaotic.	2	23
153	It's very easy to enter Chaos Castle. Simply right-click on your Armor of Guardsman at the appropriate times (12:00am, 14:00pm, 16:00pm, 18:00pm, 20:00pm, and 22:00pm) to enter. Players in designated locations, such as a PC cafe, will have more opportunities to enter.	2	23
154	You will stand by for about a minute before actually entering. The event starts once this standby time passes. Once it does start, travelers and corrupt guardsmen will fight each other to the death in a no-holds-barred melee. 	2	23
155	It doesn't matter with the travelers, but you have to be careful when you kill a corrupt guardsman. Corrupt guardsmen will explode and may even push you off the arena. If this happens, you will be disqualified.	2	23
156	If you want to find out when you can enter, simply move your mouse over the Armor of Guardsman. If you want to enter, simply right-click on the armor at a designated time. Come see me when you have time, and I will give you a quest that will earn you the item needed to enter the event.	2	23
157	If you understand everything, receive the reward.	4	23
158	Listen to the explanation of the Chaos Castle.	5	23
159	Get the supplies for Chaos Castle	1	24
160	Welcome. I will earn you the item you need to enter the event. (Level 400-599)	2	24
161	It appears Hell Spiders are causing quite a headache for novice travelers to the Dungeon these days. If you defeat 60 Hell Spiders, I will offer you a choice of two rewards from 5 Large Healing Potions, 5 Large Mana Potions, and 2 Small SD Potions. When you claim your rewards, make sure you have at least 13 empty slots in your Inventory. Remember that.	2	24
162	Defeat Hell Spiders in Dungeon and return.	3	24
163	Well done. Here's the supplies.	4	24
164	Defeat Hell Spiders in Dungeon and receive supplies.	5	24
165	Defeat 3 monsters in Chaos Castle!	1	25
166	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 400-599)	2	25
167	Try your hand at Chaos Castle Level 2. Come back to me after defeating 3 Guardsman, and I will give you 200,000 Zens as a reward. However, this applies only to Chaos Castle Level 2.	2	25
168	Go to the Event Map to hunt monsters x3 in Chaos Castle and return.	3	25
169	Well done.	4	25
170	Hunt monsters x3 in Chaos Castle and return.	5	25
171	Clear Chaos Castle 1 time!	1	26
172	Surviving Chaos Castle is proof of how well you've trained. (Level 400-599)	2	26
173	Survive through Chaos Castle Level 2. Come back to me after that, and I will give you 400,000 EXP points and 300,000 Zens as a reward. However, this applies only to Chaos Castle Level 2.	2	26
174	Clear Chaos Castle and return.	3	26
175	Well done.	4	26
176	Clear Chaos Castle 1 time and return.	5	26
177	Get the supplies for Chaos Castle	1	27
178	Welcome. I will earn you the item you need to enter the event. (Level 600-699)	2	27
179	There's a rumor about Dark Knights and Gorgons from the lowest level of the Dungeon planning something sinister. Go to Dungeon Level 3 and defeat 80 Dark Knights. Do this, and I will give you a choice of two rewards from 10 Large Healing Potions, 10 Large Mana Potions, and 5 Small Complex Potions. When you claim your rewards, make sure you have at least 20 empty slots in your Inventory. Remember that.	2	27
180	Defeat Dark Knights in Dungeon and return.	3	27
181	Well done. Here's the supplies.	4	27
182	Defeat Dark Knights in Dungeon and receive supplies.	5	27
183	Defeat 5 monsters in Chaos Castle!	1	28
184	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 600-699)	2	28
185	Try your hand at Chaos Castle Level 3. Come back to me after defeating 5 Guardsmen, and I will give you 800,000 EXP points and 500,000 Zens as a reward. However, this applies only to Chaos Castle Level 3.	2	28
186	Go to the Event Map to hunt monsters x5 in Chaos Castle and return.	3	28
187	Well done.	4	28
188	Hunt monsters x5 in Chaos Castle and return.	5	28
189	Clear Chaos Castle 1 time!	1	29
190	Surviving Chaos Castle is proof of how well you've trained. (Level 600-699)	2	29
191	Survive through Chaos Castle Level 3. Come back to me after that, and I will give you 1,000,000 EXP points and 1 Jewel of Chaos as a reward. However, this applies only to Chaos Castle Level 3.	2	29
192	Clear Chaos Castle and return.	3	29
193	Well done.	4	29
194	Clear Chaos Castle 1 time and return.	5	29
195	Get the supplies for Chaos Castle	1	30
196	Welcome. I will earn you the item you need to enter the event. (Level 700-799)	2	30
197	Devils located on Levels 4 through 6 of the Lost Tower should suffice. Go to the Lost Tower and defeat 100 Devils. Come see me after that, and I will give you a choice between 5 SD Potions and 5 Complex Potions as your reward. When you claim your rewards, make sure you have at least 15 empty slots in your Inventory. Remember that.	2	30
198	Defeat Devils in Lost Tower Lv. 4-6 and return.	3	30
199	Well done. Here's the supplies.	4	30
200	Defeat Devils in Lost Tower Level 4-6 and receive supplies.	5	30
201	Defeat 1 player in Chaos Castle!	1	31
202	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 700-799)	2	31
203	Try your hand at Chaos Castle Level 4. Come back to me after defeating 1 traveler wearing the Armor of Guardsman, and I will give you 300,000 Zens and 1 Jewel of Chaos as a reward. However, this applies only to Chaos Castle Level 4.	2	31
204	Go to the Event Map to defeat player x1 in Chaos Castle and return.	3	31
205	Well done.	4	31
206	Defeat player x1 in Chaos Castle and return.	5	31
207	Clear Chaos Castle 1 time!	1	32
208	Surviving Chaos Castle is proof of how well you've trained. (Level 700-799)	2	32
209	Survive through Chaos Castle Level 4. I will give you 1 Jewel of Soul as a reward when you return. However, this applies only to Chaos Castle Level 4.	2	32
210	Clear Chaos Castle and return.	3	32
211	Well done.	4	32
212	Clear Chaos Castle 1 time and return.	5	32
213	Get the supplies for Chaos Castle	1	33
214	Welcome. I will earn you the item you need to enter the event. (Level 800-899)	2	33
215	Queen Rainiers in Icarus should suffice. Go to Icarus and defeat 100 Queen Rainiers. Come see me after that, and I will give you a choice between 3 Large SD Potions and 10 Complex Potions as your reward. When you claim you rewards, make sure you have at least 10 empty slots in your Inventory. Remember that.	2	33
216	Defeat Queen Rainiers in Icarus and return.	3	33
217	Well done. Here's the supplies.	4	33
218	Defeat Queen Rainers in Icarus and receive supplies.	5	33
219	Defeat 3 players in Chaos Castle!	1	34
220	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 800-899)	2	34
221	Try your hand at Chaos Castle Level 5. Come back to me after defeating 3 travelers wearing the Armor of Guardsman, and I will give you 1 Jewel of Soul as a reward. However, this applies only to Chaos Castle Level 5.	2	34
222	Go to the Event Map to defeat players x3 in Chaos Castle and return.	3	34
223	Well done.	4	34
224	Defeat players x3 in Chaos Castle and return.	5	34
225	Clear Chaos Castle 1 time!	1	35
226	Surviving Chaos Castle is proof of how well you've trained. (Level 800-899)	2	35
227	Survive through Chaos Castle Level 5. I will give you 1 Jewel of Bless as a reward when you return. However, this applies only to Chaos Castle Level 5.	2	35
228	Clear Chaos Castle and return.	3	35
229	Well done.	4	35
230	Clear Chaos Castle 1 time and return.	5	35
231	Get the supplies for Chaos Castle	1	36
232	Welcome. I will earn you the item you need to enter the event. (Level 900-999)	2	36
233	Beam Knights in Tarkan Level 2 should suffice. Go to Tarkan Level 2 and defeat 100 Beam Knightss. Come see me after that, and I will give you a choice between 7 Large SD Potions and 10 Complex Potions as your reward. When you claim you rewards, make sure you have at least 20 empty slots in your Inventory. Remember that.	2	36
234	Defeat Beam Knights in Tarkan 2 and return.	3	36
235	Well done. Here's the supplies.	4	36
236	Defeat Beam Knights in Tarkan 2 and receive supplies.	5	36
237	Defeat 5 players in Chaos Castle!	1	37
238	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 900-999)	2	37
239	Try your hand at Chaos Castle Level 6. Come back to me after defeating 5 travelers wearing the Armor of Guardsman, and I will give you 1 Jewel of Harmony as a reward. However, this applies only to Chaos Castle Level 6.	2	37
240	Go to the Event Map to defeat players x5 in Chaos Castle and return.	3	37
241	Well done.	4	37
242	Defeat players x5 in Chaos Castle and return.	5	37
243	Clear Chaos Castle 1 time!	1	38
244	Surviving Chaos Castle is proof of how well you've trained. (Level  900-999)	2	38
245	Survive through Chaos Castle Level 6. I will give you 1 Jewel of Life as a reward when you return. However, this applies only to Chaos Castle Level 6.	2	38
246	Clear Chaos Castle and return.	3	38
247	Well done.	4	38
248	Clear Chaos Castle 1 time and return.	5	38
249	Get the supplies for Chaos Castle	1	39
250	Welcome. I will earn you the item you need to enter the event. (Level 1000-1350)	2	39
251	Shadow Pawns from the Swamp of Peace should suffice. Go to the Swamp of Peace and defeat 100 Shadow Pawns. Come see me after that, and I will give you a choice between 10 Large SD Potions and 15 Large Complex Potions as your reward. When you claim your reward, make sure you have at least 30 empty slots in your Inventory. Remember that.	2	39
252	Defeat Shadow Pawns in Swamp of Peace and return.	3	39
253	Well done. Here's the supplies.	4	39
254	Defeat Shadow Pawns in Swamp of Peace and receive supplies.	5	39
255	Defeat 7 players in Chaos Castle!	1	40
256	Taking on the challenges of Chaos Castle is tantamount to testing one's own limitations. (Level 1000-1350)	2	40
257	Try your hand at Chaos Castle Level 7. Come back to me after defeating 10 travelers wearing the Armor of Guardsman, and I will give you 2 Jewels of Soul as a reward. However, this applies only to Chaos Castle Level 7.	2	40
258	Go to the Event Map to defeat players x7 in Chaos Castle and return.	3	40
259	Well done.	4	40
260	Defeat players x7 in Chaos Castle and return.	5	40
261	Clear Chaos Castle 1 time!	1	41
262	Surviving Chaos Castle is proof of how well you've trained. (Level 1000-1350)	2	41
263	Survive through Chaos Castle Level 7. I will give you 2 Jewels of Bless as a reward when you return. However, this applies only to Chaos Castle Level 7.	2	41
264	Clear Chaos Castle and return.	3	41
265	Well done.	4	41
266	Clear Chaos Castle 1 time and return.	5	41
267	Listen to the explanation of the Blood Castle quest (50~399).	1	42
268	Have you ever heard of Blood Castle's barrier? Would you like to hear Archangel's request to help defend Blood Castle's barrier and join in the fight for the castle? (Level 50-399)	2	42
269	I will tell you then. Devildom's royal guards, who were summoned when Kundun succumbed to Secrarium, posed a great threat to the heaven world. To protect their base, the Twelve Saints formed a barrier around Blood Castle. 	2	42
270	Kundun, however, must've anticipated such a move. He hid beyond the range of the barrier and eliminated the Twelve Saints as soon as the barrier was formed. Luckily, Archangel evaded that peril and sacrificed himself for the barrier. 	2	42
271	It's easy to join Blood Castle. It will be held every 2 hours from 00:30. 5 minutes before the Blood Castle takes place, take an Invisibility Cloak that fits the your level and go to the event map square. Find 'Archangel's Spirit' and apply for the Blood Castle. Archangel's Spirit will send you to the Blood Castle. 	2	42
272	You will stand by for about a minute before actually entering. You'll enter Blood Castle after this standby time has elapsed. Once inside Blood Castle, you can buy some time by defeating 40 monsters summoned by a necromancer named Red Skull.	2	42
273	Go past the castle gate and defeat two Red Skulls who have hidden the Absolute Weapon. This will buy you some more time and reveal a casket containing the weapon. Destroy the casket, defeat more monsters, and return the Absolute Weapon to Archangel to successfully complete the Blood Castle quest.	2	42
274	To find out when you can enter, simply press the F1 key. If you want to enter, take an Invisibility Cloak that's right for your level to the Messenger of Archangel before the scheduled start time. Come see me when you have time, and I will give you a quest that will earn you the Invisibility Cloak so that you can enter Blood Castle.	2	42
275	If you understand everything, receive the reward.	4	42
276	Listen to the explanation of the Blood Castle.	5	42
277	Get the supplies for Blood Castle	1	43
278	You are back sooner than I thought. I will give you a quest that will earn you the item you need to enter the event. (Level 50-399)	2	43
279	It appears Hell Hounds are causing quite a headache for novice travelers to the Dungeon these days. Hunt down 40 Hell Hounds, and I'll give you an Invisibility Cloak + 1 as a reward. At your current level, it'll be too dangerous for you to hunt the monsters alone. It'll be better if you hunt in a party.	2	43
280	Defeat Hell Hounds in Dungeon and return.	3	43
281	Well done. Here's the supplies.	4	43
282	Defeat Hell Hounds in Dungeon and receive supplies.	5	43
283	Destroy the gate in Blood Castle!	1	44
284	Taking on the challenges of Blood Castle is tantamount to testing one's own limitations. (Level 50-399)	2	44
285	Try your hand at Blood Castle Level 1. Destroy the castle gate at least, and I'll give you 100,000 Zens as a reward. However, this applies only to Blood Castle Level 1.	2	44
286	Enter Blood Castle to destroy the gate and return.	3	44
287	Well done.	4	44
288	Destroy the gate in Blood Castle 1 time and return.	5	44
289	Clear Blood Castle!	1	45
290	Surviving Blood Castle is proof of how well you've trained. (Level 50-399)	2	45
291	Try your hand at Blood Castle Level 1 and complete Archangel's quest. Come back afterwards, and I'll give you 100,000 EXP points and 200,000 Zens as a reward. However, this applies only to Blood Castle Level 1.	2	45
292	Clear Blood Castle and return.	3	45
293	Well done.	4	45
294	Clear Blood Castle 1 time and return.	5	45
295	Listen to the explanation of the Blood Castle quest (400~599).	1	46
296	Have you ever heard of Blood Castle's barrier? Would you like to hear Archangel's request to help defend Blood Castle's barrier and join in the fight for the castle? (Level 50-199)	2	46
297	I will tell you then. Devildom's royal guards, who were summoned when Kundun succumbed to Secrarium, posed a great threat to the heaven world. To protect their base, the Twelve Saints formed a barrier around Blood Castle. 	2	46
298	Kundun, however, must've anticipated such a move. He hid beyond the range of the barrier and eliminated the Twelve Saints as soon as the barrier was formed. Luckily, Archangel evaded that peril and sacrificed himself for the barrier. 	2	46
299	It's easy to join Blood Castle. It will be held every 2 hours from 00:30. 5 minutes before the Blood Castle takes place, take an Invisibility Cloak that fits the your level and go to the event map square. Find 'Archangel's Spirit' and apply for the Blood Castle. Archangel's Spirit will send you to the Blood Castle. 	2	46
300	You will stand by for about a minute before actually entering. You'll enter Blood Castle after this standby time has elapsed. Once inside Blood Castle, you can buy some time by defeating 40 monsters summoned by a necromancer named Red Skull.	2	46
301	Go past the castle gate and defeat two Red Skulls who have hidden the Absolute Weapon. This will buy you some more time and reveal a casket containing the weapon. Destroy the casket, defeat more monsters, and return the Absolute Weapon to Archangel to successfully complete the Blood Castle quest.	2	46
